genesetid,dmel_num_geneID,dmel_num_analyzable,dmel_num_M,dmel_num_F,dmel_num_B,dmel_num_B_multi,dmel_num_unbiased,dsim_num_geneID,dsim_num_analyzable,dsim_num_M,dsim_num_F,dsim_num_B,dsim_num_B_multi,dsim_num_unbiased,dser_num_geneID,dser_num_analyzable,dser_num_M,dser_num_F,dser_num_B,dser_num_B_multi,dser_num_unbiased
276,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1
277,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
278,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
281,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
282,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
283,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
284,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
285,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
286,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
