B52,B52_A B52_B
CG12254,CG12254
CG12261,CG12261
CG12262,CG12262
CG12263,CG12263
CG12264,CG12264
CG12265,CG12265
CG12267,CG12267
CG12268,CG12268
CG12269,CG12269
CG1227,CG1227
CG12272,CG12272
CG12273,CG12273
CG12276,CG12276
CG12279,CG12279
CG1228,CG1228
CG12283,CG12283
CG12284,CG12284
CG12286,CG12286
CG12287,CG12287_A CG12287_B
CG12292,CG12292
CG12299,CG12299
CG12301,CG12301
CG12304,CG12304_A CG12304_B
CG1231,CG1231
CG12311,CG12311
CG12316,CG12316
CG12317,CG12317
CG12321,CG12321
CG12323,CG12323
CG12324,CG12324
CG12325,CG12325
CG1233,CG1233
CG12333,CG12333
CG1234,CG1234
CG12340,CG12340
CG12342,CG12342
CG12343,CG12343
CG12345,CG12345
CG12346,CG12346
CG12348,CG12348_A CG12348_B
CG12351,CG12351
CG12355,CG12355
CG12357,CG12357
CG12358,CG12358
CG12359,CG12359
CG1236,CG1236
CG12360,CG12360
CG12363,CG12363
CG12366,CG12366
CG12369,CG12369
CG12370,CG12370
CG12372,CG12372
CG12373,CG12373
CG12385,CG12385
CG12389,CG12389
CG1239,CG1239
CG12390,CG12390
CG12391,CG12391
CG12393,CG12393_A CG12393_B
CG12396,CG12396
CG12399,CG12399
CG1240,CG1240
CG12400,CG12400
CG12402,CG12402
CG12403,CG12403
CG12404,CG12404
CG12405,CG12405
CG12408,CG12408
CG12410,CG12410
CG12413,CG12413
CG12414,CG12414
CG1242,CG1242
CG12424,CG12424
CG12428,CG12428
CG12437,CG12437
CG12438,CG12438
CG1244,CG1244
CG12443,CG12443
CG12444,CG12444
CG12448,CG12448
CG1245,CG1245
CG12470,CG12470
CG12473,CG12473
CG12479,CG12479
CG12483,CG12483
CG12484,CG12484_A CG12484_B
CG12487,CG12487
CG12489,CG12489
CG1249,CG1249
CG12491,CG12491
CG1250,CG1250
CG12500,CG12500
CG12505,CG12505
CG12519,CG12519
CG1252,CG1252
CG12521,CG12521
CG12530,CG12530
CG12531,CG12531
CG12532,CG12532
CG12534,CG12534
CG12535,CG12535
CG12537,CG12537_A CG12537_B
CG12547,CG12547
CG12548,CG12548
CG1257,CG1257
CG12576,CG12576
CG12581,CG12581
CG12582,CG12582
CG1259,CG1259
CG12591,CG12591
CG12592,CG12592
CG12594,CG12594
CG12598,CG12598_A CG12598_B CG12598_C
CG12605,CG12605
CG12608,CG12608
CG12630,CG12630
CG12637,CG12637
CG1264,CG1264
CG12640,CG12640
CG12643,CG12643
CG1265,CG1265
CG12655,CG12655
CG12659,CG12659
CG12661,CG12661
CG12664,CG12664
CG12673,CG12673
CG12676,CG12676
CG1268,CG1268
CG12681,CG12681
CG12690,CG12690
CG12699,CG12699
CG12703,CG12703
CG1271,CG1271
CG12713,CG12713
CG12716,CG12716
CG12717,CG12717
CG12728,CG12728
CG12730,CG12730
CG12734,CG12734
CG12736,CG12736
CG12737,CG12737
CG12740,CG12740
CG12744,CG12744
CG12746,CG12746
CG12749,CG12749
CG1275,CG1275
CG12752,CG12752
CG12753,CG12753_A CG12753_B
CG12756,CG12756
CG12759,CG12759
CG1276,CG1276
CG12765,CG12765
CG12766,CG12766
CG12767,CG12767
CG12768,CG12768
CG12769,CG12769
CG12770,CG12770
CG12772,CG12772
CG12773,CG12773
CG12775,CG12775
CG12781,CG12781
CG12785,CG12785
CG12787,CG12787
CG12792,CG12792
CG12794,CG12794
CG12795,CG12795
CG12797,CG12797
CG12799,CG12799
CG12806,CG12806
CG12809,CG12809
CG12811,CG12811
CG12814,CG12814
CG12817,CG12817
CG12818,CG12818
CG12819,CG12819
CG12821,CG12821
CG12822,CG12822_A CG12822_B
CG12824,CG12824
CG12828,CG12828
CG12839,CG12839
CG12840,CG12840
CG12841,CG12841
CG12843,CG12843
CG12844,CG12844
CG12845,CG12845
CG12846,CG12846
CG12848,CG12848
CG12851,CG12851
CG12859,CG12859
CG12864,CG12864
CG12868,CG12868
CG12876,CG12876
CG12877,CG12877
CG12878,CG12878
CG1288,CG1288
CG12891,CG12891
CG12896,CG12896
CG12907,CG12907
CG12909,CG12909
CG1291,CG1291
CG12912,CG12912
CG12919,CG12919
CG12921,CG12921
CG12924,CG12924
CG12926,CG12926
CG12929,CG12929
CG12931,CG12931
CG12945,CG12945
CG12947,CG12947
CG12948,CG12948
CG12950,CG12950
CG12954,CG12954
CG12963,CG12963
CG12972,CG12972
CG12975,CG12975
CG1298,CG1298
CG12984,CG12984
CG12991,CG12991_A CG12991_B
CG12994,CG12994
CG13001,CG13001
CG13003,CG13003
CG13004,CG13004
CG13016,CG13016
CG13018,CG13018
CG13024,CG13024
CG13025,CG13025
CG1303,CG1303
CG13041,CG13041
CG13043,CG13043
CG13044,CG13044
CG13045,CG13045
CG13051,CG13051
CG13057,CG13057
CG13061,CG13061
CG13067,CG13067
CG1307,CG1307
CG13072,CG13072
CG13076,CG13076
CG13077,CG13077
CG13083,CG13083
CG13085,CG13085
CG13089,CG13089
CG13090,CG13090
CG13094,CG13094
CG13096,CG13096
CG13097,CG13097
CG13098,CG13098
CG13109,CG13109
CG13117,CG13117
CG13123,CG13123
CG13124,CG13124
CG13138,CG13138
CG13139,CG13139
CG1314,CG1314
CG13140,CG13140
CG1315,CG1315
CG13159,CG13159
CG1316,CG1316
CG13160,CG13160
CG13163,CG13163
CG1317,CG1317
CG13176,CG13176
CG13178,CG13178
CG1318,CG1318
CG13188,CG13188
CG13189,CG13189
CG13197,CG13197
CG1320,CG1320
CG13204,CG13204
CG13213,CG13213
CG13220,CG13220
CG13221,CG13221
CG13229,CG13229
CG13230,CG13230
CG13240,CG13240
CG13244,CG13244
CG13247,CG13247
CG13248,CG13248
CG13252,CG13252
CG13253,CG13253
CG13255,CG13255
CG13270,CG13270
CG13272,CG13272
CG13277,CG13277
CG13278,CG13278
CG13279,CG13279
CG13281,CG13281
CG13283,CG13283
CG13284,CG13284
CG13293,CG13293
CG13298,CG13298
CG13299,CG13299
CG13305,CG13305
CG13306,CG13306
CG13310,CG13310
CG13314,CG13314
CG13316,CG13316_A CG13316_B
CG13319,CG13319
CG13322,CG13322
CG13323,CG13323
CG1333,CG1333
CG13337,CG13337
CG13339,CG13339
CG13343,CG13343
CG13348,CG13348
CG13349,CG13349
CG13360,CG13360
CG13361,CG13361
CG13362,CG13362
CG13363,CG13363
CG13364,CG13364
CG13365,CG13365
CG13366,CG13366
CG13367,CG13367
CG13369,CG13369
CG13373,CG13373_A CG13373_B
CG13375,CG13375
CG13376,CG13376
CG13377,CG13377
CG13379,CG13379
CG1338,CG1338
CG13384,CG13384
CG13387,CG13387
CG13388,CG13388
CG13389,CG13389
CG13390,CG13390
CG13392,CG13392
CG13393,CG13393
CG13397,CG13397
CG13398,CG13398
CG13399,CG13399
CG13405,CG13405
CG13409,CG13409
CG1341,CG1341
