comparison,FEATURE_ID,dm12279_38d_num_reps,dm12272_38d_num_reps,counts_dm12279_38d_g1,counts_dm12279_38d_g2,counts_dm12279_38d_both,counts_dm12272_38d_g1,counts_dm12272_38d_g2,counts_dm12272_38d_both,prior_dm12279_38d_g1,prior_dm12279_38d_g2,prior_dm12272_38d_g1,prior_dm12272_38d_g2,H3_independence_Bayes_evidence,dm12279_38d_sampleprop,dm12279_38d_theta,dm12279_38d_q025,dm12279_38d_q975,dm12279_38d_Bayes_evidence,dm12279_38d_AI_decision,dm12272_38d_sampleprop,dm12272_38d_theta,dm12272_38d_q025,dm12272_38d_q975,dm12272_38d_Bayes_evidence,dm12272_38d_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12279_High_vs_dm12272_High_38d,FBgn0035372,3,3,183,191,46,173,163,22,0.89047619047619,0.89047619047619,0.93854748603352,0.93854748603352,0.6527,0.4893,0.4915,0.4175,0.5694,0.8071,0,0.5149,0.5156,0.4382,0.5932,0.6882,0,1.0203,0.9721,1
dm12279_High_vs_dm12272_High_38d,FBgn0035374,3,3,185,178,60,185,160,64,0.858156028368794,0.858156028368794,0.843520782396088,0.843520782396088,0.6656,0.5096,0.5076,0.4181,0.5964,0.8564,0,0.5362,0.5337,0.4416,0.6239,0.4382,0,0.9889,0.9382,1
dm12279_High_vs_dm12272_High_38d,FBgn0266409,3,3,123,102,228,195,140,102,0.496688741721854,0.496688741721854,0.766590389016018,0.766590389016018,0.6233,0.5467,0.5408,0.4507,0.6271,0.3604,0,0.5821,0.5704,0.4881,0.6474,0.0918,0,0.9247,0.8699,1
dm12279_High_vs_dm12272_High_38d,FBgn0262593,3,3,17,30,42,29,42,23,0.528089887640449,0.528089887640449,0.75531914893617,0.75531914893617,0.7949,0.3617,0.405,0.2854,0.5339,0.1498,0,0.4085,0.42700000000000005,0.3162,0.5436,0.2171,0,1.2276,1.1692,1
dm12279_High_vs_dm12272_High_38d,FBgn0038735,3,3,57,95,975,230,348,25,0.134871339840284,0.134871339840284,0.9585406301824209,0.9585406301824209,0.7082,0.375,0.3856,0.2995,0.4763,0.0151,1,0.3979,0.4054,0.3444,0.4699,0.0078,1,1.2707,1.2146,1
dm12279_High_vs_dm12272_High_38d,FBgn0037370,3,3,128,110,247,105,133,165,0.490721649484536,0.490721649484536,0.590570719602978,0.590570719602978,0.3922,0.5378,0.5287,0.4117,0.6444,0.6149,0,0.4412,0.4573,0.3451,0.5736,0.4482,0,0.9501,1.0984,1
dm12279_High_vs_dm12272_High_38d,FBgn0034060,3,3,63,109,63,59,68,46,0.731914893617021,0.731914893617021,0.734104046242775,0.734104046242775,0.2247,0.3663,0.3888,0.2955,0.4953,0.0402,1,0.4646,0.4765,0.3739,0.584,0.6522,0,1.2639,1.0549,1
dm12279_High_vs_dm12272_High_38d,FBgn0038609,3,3,81,62,23,80,108,15,0.86144578313253,0.86144578313253,0.9261083743842359,0.9261083743842359,0.1833,0.5664,0.5474,0.4385,0.6494,0.3689,0,0.4255,0.447,0.3485,0.5514,0.3136,0,0.9137,1.1198,1
dm12279_High_vs_dm12272_High_38d,FBgn0046302,3,3,373,433,64,224,231,87,0.9264367816091948,0.9264367816091948,0.8394833948339481,0.8394833948339481,0.6273,0.4628,0.4688,0.4046,0.5345,0.3438,0,0.4923,0.4919,0.4215,0.5636,0.8079999999999999,0,1.0671,1.0190000000000001,1
dm12279_High_vs_dm12272_High_38d,FBgn0038603,3,3,147,246,330,154,186,121,0.543568464730291,0.543568464730291,0.7375271149674619,0.7375271149674619,0.3642,0.374,0.3904,0.3063,0.4877,0.03,1,0.4529,0.4507,0.3577,0.551,0.3031,0,1.2581,1.1104,1
